"Ключевое слово";"Результатов в Google";"Слов";"Символов";"Частотность Весь мир";"""!Частотность !Весь !мир""";"Количество найденных доменов в Google по слову";"Средняя позиция в Google";"Позиция в Google avrora-trans.com";"Позиция в Google autotransgarant.com";"Позиция в Google della.ua"
"берн лугано";11700000;2;11;145;21;1;5;0;0;5
"лондон амстердам";5070000;2;16;506;21;1;25;0;0;25
"отвоцк польша";62400;2;13;46;21;1;39;0;0;39
"влоцлавек польша";744000;2;16;57;21;1;42;0;0;42
"тронка";83200;1;6;950;21;1;35;0;0;35
"маршрут на авто проложить между городами";2010000;6;40;49;21;1;45;0;0;45
"киев запорожье";30600000;2;14;1001;21;1;43;0;0;43
"киев ивано франковск";20900000;3;20;652;21;1;33;0;0;33
"особенности перевозки негабаритных грузов";133000;4;41;105;21;1;29;29;0;0
"кутно польша";1320000;2;12;100;21;1;11;0;0;11
"гуменне";119000;1;7;416;21;1;9;0;0;9
"стоимость комбайна";604000;2;18;958;21;1;30;30;0;0
"киев бухарест";1330000;2;13;276;21;1;27;0;0;27
"вишневе";4070000;1;7;31945;21;1;45;0;0;45
"тарутина";67000;1;8;10399;21;1;48;0;0;48
"обязанности диспетчера по транспорту";27800;4;36;520;21;1;48;48;0;0
"карта мира с измерением расстояния";39900;5;34;54;21;1;20;0;0;20
"карта жаркента";801000;2;14;199;21;1;23;0;0;23
"карта автомобильных дорог луганской области";49500;5;43;81;21;1;42;0;0;42
"построить маршрут от а до я";2880000;6;27;168955;21;1;42;0;0;42
"новомиргород украина";2200000;2;20;168;21;1;24;0;0;24
"сигетсентмиклош";24900;1;15;37;21;1;23;0;0;23
"славгород днепропетровская область";85700;3;34;49;21;1;45;0;0;45
"романив";89900;1;7;1382;21;1;22;0;0;22
"карта схема маршрута";23500000;3;20;8579;21;1;26;0;0;26
"карта франции и испании";3810000;4;23;508;21;1;4;0;0;4
"делла бай расстояние";19700;3;20;569;21;1;2;0;0;2
"расчет расстояния между точками";399000;4;31;768;21;1;48;0;0;48
"градек";43600;1;6;414;21;1;19;0;0;19
"мариновка донецк";81800;2;16;316;21;1;8;0;0;8
"международные автоперевозки";743000;2;27;458;21;1;13;13;0;0
"сараево карта";1010000;2;13;419;21;1;28;0;0;28
"нижний новгород сколько километров";2510000;4;34;8841;21;1;35;0;0;35
"г мядель";1700000;2;8;500;21;1;46;0;0;46
"австрия германия расстояние";1770000;3;27;63;20;1;8;0;0;8
"десна чернигов";616000;2;14;196;20;1;36;0;0;36
"петропавловск камчатский расстояние";1010000;3;35;5631;20;1;16;0;0;16
"тростянець";1640000;1;10;203;20;1;36;0;0;36
"жилина юлия";477000;2;11;260;20;1;28;0;0;28
"литки";68600;1;5;18447;20;1;42;0;0;42
"краснодар от сочи";38100000;3;17;133691;20;1;6;0;0;6
"харьков полтава";21900000;2;15;576;20;1;23;0;0;23
"теофиполь";479000;1;9;168;20;1;32;0;0;32
"середняков";189000;1;10;3940;20;1;20;0;0;20
"москва харьков расстояние на машине";209000;5;35;75;20;1;49;0;0;49
"боромля";133000;1;7;153;20;1;36;0;0;36
"проложить автомаршрут между городами на автомобиле на карте";92500;8;59;55;20;1;8;0;0;8
"казахстан корея расстояние";723000;3;26;51;20;1;4;0;0;4
"транспортный габарит по высоте";88000;4;30;290;20;1;5;5;0;0
"услуги транспортных компаний";12000000;3;28;3268;20;1;48;48;0;0
"харьков умань";5400000;2;13;29;20;1;28;0;0;28
"черняевка граница узбекистана с казахстаном на карте";34;7;52;22;20;1;9;0;0;9
"делавто";5630;1;7;52;20;1;2;0;0;2
"дели сервис";1010000000;2;11;330;20;1;3;0;0;3
"питер алтай расстояние";46300;3;22;39;20;1;43;0;0;43
"спецразрешение на перевозку крупногабаритных грузов";109000;5;51;118;20;1;11;0;0;11
"дейл личный кабинет";92800;3;19;350;20;1;34;0;0;34
"донецк абхазия расстояние";25200;3;25;52;20;1;6;0;0;6
"теплень";29000;1;7;255;20;1;34;0;0;34
"гомель чернигов";915000;2;15;540;20;1;34;0;0;34
"дельта вход в личный кабинет";740000;5;28;380;20;1;41;0;0;41
"курс валют в балаково";64300;4;21;609;20;1;37;0;0;37
"курс валют красный луч";54000;4;22;190;20;1;19;0;0;19
"курс валют говерла";16600;3;18;53;20;1;34;0;0;34
"арабку";582000;1;6;128021;20;1;6;0;0;6
"одх кз";850000;2;6;22;20;1;39;0;0;39
"462 маршрут";1120000;2;11;495;20;1;21;0;0;21
"конгаз молдова";141000;2;14;174;20;1;5;0;0;5
"наибольшая масса груза который можно перевезти с помощью машины составляет 6т";181000;11;77;24;20;1;32;32;0;0
"медвин";130000;1;6;589;20;1;26;0;0;26
"компания по переезду";847000;3;20;3369;20;1;38;38;0;0
"заказы на газель";3850000;3;16;6199;20;1;36;0;0;36
"дупница";7110000;1;7;360;20;1;27;0;0;27
"маршрут 1212к";780000;2;13;48;20;1;19;0;0;19
"расстояние от харькова до одессы";83200;5;32;84;20;1;41;0;0;41
"отвоцк";109000;1;6;125;20;1;18;0;0;18
"рассчитать км по карте";3330000;4;22;438;20;1;10;0;0;10
"карта кривичи";251000;2;13;518;20;1;16;0;0;16
"карта украины с кубанью";49;4;23;123;20;1;43;0;0;43
"карта тамбов воронеж";12600000;3;20;298;20;1;10;0;0;10
"карта ханженково";11800;2;16;264;20;1;10;0;0;10
"сайт делла";660000;2;10;1543;20;1;1;0;0;1
"3000 км";21700000;2;7;7942;20;1;1;0;0;1
"расстояние амвросиевка таганрог";10100;3;31;49;20;1;15;0;0;15
"занки";44400;1;5;35060;20;1;5;0;0;5
"правила автомобильных перевозок";643000;3;31;8782;20;1;46;0;0;46
"канада и казахстан";16600000;3;18;2417;20;1;9;0;0;9
"заказать квартирный переезд";662000;3;27;190;20;1;33;33;0;0
"прахова";360000;1;7;8632;20;1;30;0;0;30
"расчет километража по карте";785000;4;27;73;20;1;10;0;0;10
"толен";88200;1;5;3398;20;1;37;0;0;37
"расстояние между городами тула москва";458000;5;37;107;20;1;12;0;0;12
"калуга старый оскол расстояние на машине";282000;6;40;39;20;1;42;0;0;42
"конча в";50;2;7;274520;20;1;36;0;0;36
"москва зеленоград расстояние в км";456000;5;33;134;20;1;14;0;0;14
"тяжеловесные";357000;1;12;16059;20;1;12;12;0;0
"тереблече";40800;1;9;33;20;1;7;0;0;7
"михаловце словакия";72500;2;18;65;20;1;18;0;0;18
"перевозка промышленного оборудования";384000;3;36;73;20;1;18;18;0;0
"работа на бусе";160000;3;14;1136;20;1;37;0;0;37
"5 тонная машина";65500;3;15;234;20;1;40;0;40;0
"курс валют в малорите";26;4;21;342;19;1;10;0;0;10
"курс валют туапсе";62500;3;17;348;19;1;34;0;0;34
"курс валют чита на сегодня";1970000;5;26;681;19;1;45;0;0;45
"сумы воронеж расстояние";49;3;23;60;19;1;8;0;0;8
"загрузки для грузовых машин";485000;4;27;349;19;1;33;0;0;33
"12 т статистика";182000000;3;15;146;19;1;48;0;0;48
"калькулятор дорог";16100000;2;17;4086;19;1;2;0;0;2
"калуга мещовск расстояние";49;3;25;56;19;1;48;0;0;48
"сайты транспортных компаний";11000000;3;27;26776;19;1;23;23;0;0
"расстояние между городами в украине";5010000;5;35;1351;19;1;2;0;0;2
"озеро байкал сколько км";762000;4;23;631;19;1;30;0;0;30
"рс транс официальный сайт";251000;4;25;26;19;1;15;0;0;15
"актау москва расстояние на машине";55000;5;33;36;19;1;20;0;0;20
"десна украина";1200000;2;13;457;19;1;44;0;0;44
"номера оон опасных грузов";83600;4;25;755;19;1;25;25;0;0
"лимбург ан дер лан";49500;4;18;47;19;1;25;0;0;25
"одесса кишинев расстояние на машине";52900;5;35;49;19;1;7;0;0;7
"испания цены";16100000;2;12;9148;19;1;40;0;0;40
"зилупе латвия";283000;2;13;85;19;1;23;0;0;23
"путь расстояние";41000000;2;15;138138;19;1;20;0;0;20
"латвия украина";26000000;2;14;4761;19;1;31;0;0;31
"скачать перевозчик 5";380000;3;20;200;19;1;44;0;0;44
"карта с километражем";43200;3;20;3020;19;1;8;0;0;8
"показатели опасности";23700000;2;20;7699;19;1;21;0;0;21
"построить маршрут для грузового автомобиля";70600;5;42;100;19;1;8;0;0;8
"карта европы по областям";181000;4;24;1773;19;1;39;0;0;39
"15000 грн в долларах";62700;4;20;27;19;1;48;0;0;48
"карта китая гуанчжоу";555000;3;20;656;19;1;27;0;0;27
"карта мира с расстоянием между объектами";2650000;6;40;19;19;1;38;0;0;38
"со специалистами";53800000;2;16;30401;19;1;11;11;0;0
"такси мариуполя";120000;2;15;3685;19;1;35;35;0;0
"della перевод";18600000;2;13;2239;19;1;30;0;0;30
"расстояние суммы москва";92900;3;23;99;19;1;6;0;0;6
"башенного";832000;1;9;119158;19;1;43;43;0;0
"расстояние от америки до африки";354000;5;31;481;19;1;11;0;0;11
"бероун";145000;1;6;135;19;1;19;0;0;19
"расстояние от бреста до границы с украиной";7740;7;42;55;19;1;6;0;0;6
"рублевка сервис";1060000;2;15;2280;19;1;44;0;0;44
"расстояние псков краснодар на машине";326000;5;36;35;19;1;35;0;0;35
"изюм город на украине в харьковской области на карте";263000;9;52;42;19;1;39;0;0;39
"маршрут 1063";479000;2;12;204;19;1;17;0;0;17
"знаки опасных грузов и их классификация";1970000;6;39;92;19;1;25;25;0;0
"личный кабинет дельта вход в личный";5660000;6;35;375;19;1;44;0;0;44
"сколько км до якутии";414000;4;20;944;19;1;23;0;0;23
"березино минск расстояние на машине";16100;5;35;28;19;1;50;0;0;50
"свидетельство допог что это";98300;4;27;2089;19;1;49;0;0;49
"перевозка грузов из белоруссии в россию";376000;6;39;143;19;1;28;0;28;0
"германия голландия";5430000;2;18;2034;19;1;24;0;0;24
"милан неаполь расстояние";180000;3;24;50;19;1;7;0;0;7
"украина на карте европы с областями";96400;6;35;241;19;1;45;0;0;45
"работа перевозки";43400000;2;16;31133;19;1;41;0;0;41
"черноморка одесса";94800;2;17;139;19;1;39;0;0;39
"поддержка делл";7880000;2;14;96;19;1;29;0;0;29
"браила";158000;1;6;683;19;1;25;0;0;25
"перевозка экскаватора стоимость";288000;3;31;64;19;1;3;3;0;0
"перевозки в узбекистан";4880000;3;22;1374;19;1;5;5;0;0
"москва торонто расстояние";294000;3;25;38;19;1;47;0;0;47
"иконки транспорт";45;2;16;428;19;1;28;0;0;28
"русская поляна черкасская область";108000;4;33;39;19;1;44;0;0;44
"езерище беларусь";102000;2;16;206;19;1;37;0;0;37
"негабаритный груз жд";28400;3;20;770;19;1;42;42;0;0
"расчет стоимости перевозки груза автомобильным транспортом";247000;6;58;95;19;1;33;0;0;33
"нижневартовск маршрут";644000;2;21;13156;19;1;6;0;0;6
"славутич днепр";1690000;2;14;63;19;1;14;0;0;14
"делл кз";16000;2;7;5793;19;1;4;0;0;4
"лиса гора";1990000;2;9;8283;19;1;44;0;0;44
"герцеговина на карте";4870000;3;20;2525;19;1;16;0;0;16
"мариуполь харьков расстояние";264000;3;28;67;19;1;15;0;0;15
"г талгар";4320000;2;8;608;19;1;39;0;0;39
"сколько стоит грузовая машина";343000;4;29;3205;19;1;27;0;27;0
"весело вознесеновка";114000;2;19;254;19;1;26;0;0;26
"размеры дороги";55500000;2;14;13504;19;1;39;39;0;0
"транспортная железнодорожная компания";802000;3;37;823;19;1;21;0;21;0
"транспортный документ";1590000;2;21;39167;19;1;28;0;0;28
"максимальная ширина груза";1330000;3;25;645;18;1;2;2;0;0
"макіївка";2100000;1;8;528;18;1;50;0;0;50
"нойбург";197000;1;7;223;18;1;28;0;0;28
"французский транс";7390000;2;17;617;18;1;47;47;0;0
"тчев польша";1070000;2;11;64;18;1;18;0;0;18
"успешный переезд упаковка";102000;3;25;30;18;1;34;34;0;0
"перевозка вещей в европу";126000;4;24;181;18;1;50;0;50;0
"480 белорусских рублей";934000;3;22;242;18;1;34;0;0;34
"перевозка товаров";6370000;2;17;23227;18;1;9;9;0;0
"перевозка погрузчика";6190000;2;20;973;18;1;48;48;0;0
"перевозка грузов на легковом автомобиле";102000;5;39;1301;18;1;24;24;0;0
"перевозка мебели днепр";136000;3;22;18;18;1;31;31;0;0
"расстояние смолевичи жодино";127000;3;27;35;18;1;13;0;0;13
"расстояние от ростова до успенки";50;5;32;252;18;1;14;0;0;14
"расстояние от джанкоя до мариуполя";33400;5;34;386;18;1;18;0;0;18
"аджамка";65700;1;7;111;18;1;26;0;0;26
"запад и север";46200000;3;13;182006;18;1;33;0;0;33
"анкарой";369000;1;7;123627;18;1;46;0;0;46
"свидетельство о допущении транспортного средства к перевозке опасных грузов";16200;9;75;269;18;1;11;0;0;11
"расстояние между городами донецк ростов на дону";45;7;47;185;18;1;16;0;0;16
"расстояние между городами москва рязань на автомобиле";148000;7;53;31;18;1;33;0;0;33
"расстояние дорог";7330000;2;16;86307;18;1;1;0;0;1
"ростов киев";16400000;2;11;3340;18;1;24;0;0;24
"люблин карта";391000;2;12;458;18;1;16;0;0;16
"adr груз";397000;2;8;822;18;1;1;1;0;0
"ати расстояние между городами россии";16000;5;36;212;18;1;11;0;0;11
"астрахань украина";5370000;2;17;2328;18;1;3;0;0;3
"страсбург карта";575000;2;15;371;18;1;27;0;0;27
"м ясенево на карте";4530000;4;18;181;18;1;35;0;0;35
"551 маршрут москва";446000;3;18;495;18;1;24;0;0;24
"контейнер олх";30;2;13;237;18;1;22;0;0;22
"cmr kz";759000;2;6;60;18;1;11;0;0;11
"где взять заказы на грузоперевозки";393000;5;34;50;18;1;32;0;0;32
"вена чернигов";194000;2;13;35;18;1;21;0;0;21
"ганцевичи брест расстояние";107000;3;26;44;18;1;19;0;0;19
"моб юа";3960000;2;6;26;18;1;24;0;0;24
"веб камера варшава";351000;3;18;100;18;1;45;0;0;45
"проверить перевозчика";19600000;2;21;978;18;1;30;0;0;30
"показати";94000000;1;8;1920;18;1;27;0;0;27
"краков закопане расстояние";53500;3;26;30;18;1;11;0;0;11
"чернещина";95000;1;9;224;18;1;25;0;0;25
"широкий лан полигон";14000;3;19;51;18;1;31;0;0;31
"della сантехника";596000;2;16;87;18;1;24;0;0;24
"киев житомир";23500000;2;12;623;18;1;30;0;0;30
"киев владивосток расстояние";248000;3;27;44;18;1;6;0;0;6
"rashin";18000000;1;6;273;18;1;24;0;0;24
"построение маршрутов онлайн";213000;3;27;1164;18;1;40;0;0;40
"флагма польша";32;2;13;163;18;1;24;0;0;24
"онлайн навигатор проложить маршрут по адресу на автомобиле";236000;8;58;18;18;1;29;0;0;29
"вес трансформатора";670000;2;18;2666;18;1;24;24;0;0
"правило размеры";192000000;2;15;23988;18;1;34;34;0;0
"йонава литва";148000;2;12;65;18;1;27;0;0;27
"азербайджан и грузия на карте";9670000;5;29;836;18;1;7;0;0;7
"транспортные компании с собственным автопарком";98500;5;46;116;18;1;8;0;8;0
"ла рош сюр йон";64300;4;14;70;18;1;22;0;0;22
"курс доллара на сегодня березники";210000;5;33;507;18;1;20;0;0;20
"курс доллара березники на сегодня";206000;5;33;507;18;1;31;0;0;31
"кучурганы";15200;1;9;730;18;1;17;0;0;17
"гугл карта кривой рог";33000;4;21;37;18;1;49;0;0;49
"бендзин";1320000;1;7;136;18;1;25;0;0;25
"одесса варна";460000;2;12;146;18;1;31;0;0;31
"амстердам гаага";628000;2;15;253;18;1;9;0;0;9
"италия москва расстояние";2040000;3;24;118;18;1;4;0;0;4
"италия цены";22300000;2;11;16602;18;1;22;0;0;22
"курс валют говерла сьогодні";14400;4;27;21;18;1;47;0;0;47
"таблички опасный груз";155000;3;21;1937;18;1;38;38;0;0
"донецк алушта";3450000;2;13;222;18;1;46;0;0;46
"леуш";38100;1;4;4994;18;1;19;0;0;19
"свободный транспорт";23100000;2;19;1282;18;1;2;0;0;2
"говерла курс валют сьогодні";11700;4;27;21;18;1;32;0;0;32
"липецк москва расстояние в км";1230000;5;29;492;18;1;20;0;0;20
"угледар курахово расстояние";12900;3;27;46;18;1;8;0;0;8
"погрузка экскаватора на трал";81300;4;28;92;18;1;25;25;0;0
"от мариуполя до харькова расстояние";390000;5;35;85;17;1;26;0;0;26
"сэрго";1970000;1;5;125;17;1;35;0;0;35
"рединг великобритания";220000;2;21;53;17;1;48;0;0;48
"забрать попутный груз";79800;3;21;160;17;1;3;3;0;0
"допустимый вылет груза за пределы борта автомобиля";49;7;50;18;17;1;13;13;0;0
"железный порт карта";430000;3;19;396;17;1;45;0;0;45
"железнодорожная экспедиция";135000;2;26;200;17;1;48;0;48;0
"pisek";4670000;1;5;172;17;1;52;0;0;52
"донецк 76 маршрут";296000;3;17;33;17;1;33;0;0;33
"скачать км авто";13200000;3;15;42;17;1;44;0;0;44
"расчет расстояний между городами украины";36;5;40;42;17;1;1;0;0;1
"1 пк в км";216000000;4;9;276;17;1;39;0;0;39
"журавлевка харьков";81600;2;18;67;17;1;37;0;0;37
"между санкт петербургом и москвой";47900000;5;33;8109;17;1;14;0;0;14
"международная перевозка груза";319000;3;29;10353;17;1;10;10;0;0
"улькен казахстан";182000;2;16;110;17;1;9;0;0;9
"ровеньки свердловск";753000;2;19;384;17;1;20;0;0;20
"москва актау расстояние на машине";62700;5;33;32;17;1;18;0;0;18
"алания сирия расстояние";20600;3;23;69;17;1;22;0;0;22
"найти расстояние между городами";5070000;4;31;22161;17;1;1;0;0;1
"рясне руське";254000;2;12;22;17;1;15;0;0;15
"найти диспетчера по грузоперевозкам";33300;4;35;2418;17;1;46;0;0;46
"найти груз без диспетчера на газель";48;6;35;83;17;1;39;0;0;39
"германия швейцария расстояние";1280000;3;29;73;17;1;7;0;0;7
"горы симферополь";7100000;2;16;3286;17;1;34;0;0;34
"брест ганцевичи расстояние";91900;3;26;41;17;1;20;0;0;20
"украина как дела";79600000;3;16;57223;17;1;26;0;0;26
"конвектор валют казахстан";1180000;3;25;73;17;1;41;0;0;41
"проложить маршрут на грузовом автомобиле";7630;5;40;186;17;1;1;0;0;1
"как найти попутную машину";79000;4;25;6802;17;1;13;0;13;0
"опава чехия";414000;2;11;75;17;1;37;0;0;37
"byr rub";12400000;2;7;60;17;1;23;0;0;23
"znb";14800000;1;3;335;17;1;47;0;0;47
"опасные грузы класс 1";198000;4;21;3052;17;1;29;29;0;0
"что такое крупногабаритный груз";4790000;4;31;15342;17;1;9;9;0;0
"brest франция";102000000;2;13;36;17;1;17;0;0;17
"калькулятор фрахта";12100;2;18;92;17;1;8;0;0;8
"flagma беларусь";1550000;2;15;50;17;1;38;0;0;38
"олх автомобиль";3410000;2;14;1390;17;1;41;0;0;41
"сайт для дальнобойщиков";485000;3;23;1114;17;1;29;0;0;29
"построить маршрут по карте на автомобиле";342000;6;40;1393;17;1;26;0;0;26
"олх черновцы";2270000;2;12;123;17;1;34;0;0;34
"верещаки";53000;1;8;7708;17;1;16;0;0;16
"веб камера сеул";254000;3;15;263;17;1;34;0;0;34
"колина криви";883000;2;12;949;17;1;20;0;0;20
"козаровичи";34700;1;10;83;17;1;38;0;0;38
"делла скала";16900000;2;11;297;17;1;8;0;0;8
"геттракт грузоперевозки";12;2;23;23;17;1;6;0;6;0
"цены на перевозку грузов";1190000;4;24;8112;17;1;9;9;0;0
"барановичи какая область беларусь";52;4;33;155;17;1;38;0;0;38
"бахмут харьков";3470000;2;14;586;17;1;22;0;0;22
"расстояние львов запорожье";577000;3;26;36;17;1;40;0;0;40
"расстояние астана";1790000;2;17;21695;17;1;3;0;0;3
"французское такси";4440000;2;17;2319;17;1;47;47;0;0
"париж украина";50;2;13;1020;17;1;37;0;0;37
"расстояние от винницы до киева";23200;5;30;98;17;1;6;0;0;6
"запорожье львов расстояние";848000;3;26;46;17;1;30;0;0;30
"расстояние сколько километров";11500000;3;29;43569;17;1;10;0;0;10
"переезд магазина";13100000;2;16;1313;17;1;2;2;0;0
"разрешение на перевозку негабарита";21000;4;34;224;17;1;35;0;0;35
"rub byr";18700000;2;7;59;17;1;23;0;0;23
"перевозка бытовой техники с грузчиками";253000;5;38;124;17;1;38;38;0;0
"перевозка строительной техники";832000;3;30;256;17;1;6;6;0;0
"граница болгарии";322000;2;16;3198;17;1;42;0;0;42
"группы упаковки опасных грузов";162000;4;30;445;17;1;36;36;0;0
"грузоперевозки днепр";911000;2;20;28;17;1;28;28;0;0
"курс валют великий новгород на сегодня";154000;6;38;1239;17;1;33;0;0;33
"курс валют на сегодня великий новгород";169000;6;38;1239;17;1;31;0;0;31
"сколько километров до индии";1300000;4;27;563;17;1;14;0;0;14
"на сколько может выступать груз";521000;5;31;1188;17;1;8;8;0;0
"дания и норвегия на карте";20200000;5;25;208;17;1;8;0;0;8
"новгородок";729000;1;10;1597;17;1;44;0;0;44
"обязанности перевозчика груза";261000;3;29;520;16;1;32;0;0;32
"северодонецк краматорск расстояние";375000;3;34;32;16;1;5;0;0;5
"на переезд";34200000;2;10;683360;16;1;43;43;0;0
"энергодар донецк расстояние";252000;3;27;35;16;1;7;0;0;7
"оптимальные решения логистики транспортная компания";373000;5;51;22;16;1;36;36;0;0
"нечаян";10500;1;6;155072;16;1;27;0;0;27
"ямбола болгария";2350000;2;15;194;16;1;33;0;0;33
"москва индонезия расстояние";303000;3;27;56;16;1;37;0;0;37
"установить олх";11600000;2;14;131;16;1;40;0;0;40
"установить транспорт";61000000;2;20;14047;16;1;48;0;0;48
"оман бахрейн";6360000;2;12;337;16;1;16;0;0;16
"сертификация импортной продукции";86200;3;32;107;16;1;7;7;0;0
"москва пермь расстояние в км";4280000;5;28;167;16;1;10;0;0;10
"код опасности груза";273000;3;19;480;16;1;10;10;0;0
"шакяй";78000;1;5;37;16;1;26;0;0;26
"варшава мадрид";2030000;2;14;556;16;1;16;0;0;16
"валуйки область";2530000;2;15;38977;16;1;14;0;0;14
"кизляр какая область";2350000;3;20;48;16;1;30;0;0;30
"классификация груза по классам";86000;4;30;386;16;1;16;16;0;0
"класс опасности со";24000000;3;18;851;16;1;32;0;0;32
"поролон в рулонах";237000;3;17;468;16;1;26;0;0;26
"сайты для перевозчиков грузов по россии";10700000;6;39;126;16;1;46;0;0;46
"киев кривой рог расстояние";500000;4;26;44;16;1;3;0;0;3
"киев ростов";14800000;2;11;3353;16;1;32;0;0;32
"киев стамбул расстояние";478000;3;23;43;16;1;11;0;0;11
"смартфон олх";47;2;12;677;16;1;38;0;0;38
"76 маршрут донецк";196000;3;17;32;16;1;19;0;0;19
"кривой рог киев расстояние";410000;4;26;45;16;1;4;0;0;4
"делла грузоперевозки расчет расстояний";14;4;38;17;16;1;2;0;0;2
"делл ком";710000;2;8;91433;16;1;43;0;0;43
"крупногабаритный это";7890000;2;20;58126;16;1;12;12;0;0
"бос мо";574000;2;6;52;16;1;11;0;0;11
"дельта пополнить счет";41900;3;21;453;16;1;42;0;0;42
"транс бай";555000;2;9;958;16;1;11;0;0;11
"вакансии диспетчера по транспорту";182000;4;33;823;16;1;36;0;0;36
"трасса пенза";2270000;2;12;9308;16;1;15;0;0;15
"варва";777000;1;5;1316;16;1;37;0;0;37
"поиск попутной машины";42900;3;21;232;16;1;24;0;24;0
"измир турция порт";357000;3;17;78;16;1;21;0;0;21
"измерять расстояние";11000000;2;19;58590;16;1;50;0;0;50
"идентификация груза";2520000;2;19;408;16;1;27;27;0;0
"конча заспа киев";49;3;16;76;16;1;19;0;0;19
"стоимость трала";1150000;2;15;617;16;1;36;0;36;0
"стоимость перевозки мебели";1770000;3;26;504;16;1;33;33;0;0
"сопровождение негабарита";213000;2;24;343;16;1;37;0;0;37
"черновцы беларусь";871000;2;17;57;16;1;2;0;0;2
"хельмонд";11000;1;8;568;16;1;31;0;0;31
"рукла литва";8730;2;11;100;16;1;13;0;0;13
"чертково луганск";136000;2;16;196;16;1;34;0;0;34
"грузовая такси";8640000;2;14;96212;16;1;30;30;0;0
"бай обл";745000;2;7;758;16;1;11;0;0;11
"категории грузов";20100000;2;16;4746;16;1;16;16;0;0
"габариты пятитонника";46200;2;20;135;16;1;34;0;34;0
"della расчет расстояний между городами";11;5;38;42;16;1;1;0;0;1
"манчестер карта";1880000;2;15;493;16;1;46;0;0;46
"перевозка дорожно строительной техники";143000;4;38;27;16;1;7;7;0;0
"перевозка трансформаторов";1550000;2;25;257;16;1;5;5;0;0
"перевозка зерна зерновозами";60500;3;27;327;16;1;31;0;31;0
"перевозка груза 200";1310000;3;19;1615;16;1;1;1;0;0
"апон сервис";113000;2;11;35;16;1;31;0;0;31
"париж марсель расстояние на машине";86100;5;34;42;16;1;20;0;0;20
"маршруты автомобильных дорог";507000;3;28;1599;16;1;2;0;0;2
"дистансе ру";120000000;2;11;185;16;1;19;0;0;19
"лори транс";291000;2;10;39;16;1;42;42;0;0
"mob della kz";35;3;12;35;16;1;3;0;0;3
"таллин на карте россии";502000;4;22;55;16;1;27;0;0;27
"загреб сплит расстояние";75100;3;23;34;16;1;3;0;0;3
"допог опасные грузы";158000;3;19;10574;16;1;10;0;0;10
"допустимый выступ груза за габариты автомобиля";84100;6;46;29;16;1;5;5;0;0
"машина которая поднимает грузы";135000;4;30;3588;16;1;28;0;28;0
"международная сертификация продукции";555000;3;36;277;16;1;10;10;0;0
"машины для перевозки";14100000;3;20;44974;16;1;8;0;8;0
"рефрижератор это грузовой";332000;3;25;3524;16;1;39;0;39;0
"схема маршрута от и до";35300000;5;22;73745;16;1;32;0;0;32
"ларді";23700;1;5;57;16;1;42;0;0;42
"расстояние до сахалина";92500;3;22;6438;16;1;20;0;0;20
"расстояние днепр краматорск";105000;3;27;34;16;1;10;0;0;10
"расстояние киев белая церковь";368000;4;29;49;16;1;8;0;0;8
"латвия и эстония на карте";20400000;5;25;910;16;1;5;0;0;5
"бобровы 1";49;2;9;8859;16;1;30;0;0;30
"белая церковь киев расстояние";362000;4;29;51;16;1;20;0;0;20
"сколько от одессы до киева";704000;5;26;204;16;1;45;0;0;45
"расстояние между городами на автомобиле рассчитать онлайн на грузовой машине";332000;10;76;16;16;1;7;0;0;7
"кутейниково на карте донецкой области";11700;5;37;57;16;1;27;0;0;27
"курс валют на сьогодні";2580000;4;22;220;16;1;31;0;0;31
"47 км ч в м с";16500000;6;13;87;16;1;28;0;0;28
"лиманова";1880000;1;8;1180;16;1;35;0;0;35
"транспортные услуги по перевозке";960000;4;32;6343;16;1;5;5;0;0
"сколько до барнаула";626000;3;19;98070;16;1;35;0;0;35
"купить бочки б у";3820000;4;16;10758;16;1;52;0;0;52
"что разрешается делать водителю во время перевозки крупногабаритных и или тяжеловесных грузов";38;12;93;42;16;1;8;8;0;0
"расчет ж д тарифа онлайн бесплатно";6520000;6;34;36;16;1;42;0;42;0
"расчет расторжение между городами на автомобиле";15;6;47;20;16;1;2;0;0;2
"maardu эстония";1770000;2;14;29;16;1;34;0;0;34
"страдичи";3330;1;8;435;15;1;9;0;0;9
"тараз шу";2890000;2;8;169;15;1;16;0;0;16
"дэла бай";170000;2;8;57;15;1;1;0;0;1
"знаки классов опасности";657000;3;23;12178;15;1;31;31;0;0
"деллас";19900;1;6;121;15;1;3;0;0;3
"грузовые железнодорожные перевозки";681000;3;34;1774;15;1;41;0;41;0
"статистика 12 т";162000000;3;15;124;15;1;37;0;0;37
"искра село";3090000;2;10;843;15;1;22;0;0;22
"новая покровка";1960000;2;14;3075;15;1;41;0;0;41
"закон о перевозках";8630000;3;18;7330;15;1;29;0;0;29
"таможня три сестры";76400;3;18;66;15;1;45;0;0;45
"температурные перевозки";3830000;2;23;2378;15;1;29;29;0;0
"казахстан алашанькоу";75200;2;20;80;15;1;7;0;0;7
"нехвороща";76000;1;9;255;15;1;25;0;0;25
"грузоперевозки зерна";585000;2;20;379;15;1;24;0;24;0
"грузоперевозки по киеву";314000;3;23;102;15;1;23;23;0;0
"грузовое такси цены";513000;3;19;4940;15;1;25;25;0;0
"нижневартовская область";11400000;2;23;442;15;1;9;0;0;9
